廠商名稱,SVG_ID,攤位編號,產業類別,內容
大塚,svg_814,126,藥廠,小禮品，抽獎活動
佳醫,svg_816,127,藥廠,小禮品，抽獎活動
佳醫,svg_817,127,藥廠,小禮品，抽獎活動
諾和諾德,svg_819,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_820,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_821,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_822,128,藥廠,小禮品，抽獎活動
GSK,svg_824,129,藥廠,小禮品，抽獎活動
GSK,svg_825,129,藥廠,小禮品，抽獎活動
GSK,svg_826,129,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_828,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_829,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_830,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_831,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_832,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_833,130,藥廠,小禮品，抽獎活動
幸昌生技,svg_851,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_852,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_853,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_854,131,藥廠,小禮品，抽獎活動
1,svg_32,1,大會,小禮品，抽獎活動
2,svg_35,2,大會,小禮品，抽獎活動
3,svg_123,3,大會,小禮品，抽獎活動
4,svg_105,4,大會,小禮品，抽獎活動
5,svg_102,5,大會,小禮品，抽獎活動
6,svg_131,6,大會,小禮品，抽獎活動
7,svg_38,7,展廳,小禮品，抽獎活動
8,svg_56,8,展廳,小禮品，抽獎活動
9,svg_69,9,展廳,小禮品，抽獎活動
10,svg_87,10,展廳,小禮品，抽獎活動
11,svg_92,11,展廳,小禮品，抽獎活動
12,svg_59,12,展廳,小禮品，抽獎活動
13,svg_64,13,展廳,小禮品，抽獎活動
14,svg_113,14,大會,小禮品，抽獎活動
15,svg_72,15,大會,小禮品，抽獎活動
16,svg_108,16,點心,小禮品，抽獎活動
17,svg_97,17,論文,小禮品，抽獎活動
18,svg_77,18,洗手間,系統平台
19,svg_82,19,洗手間,系統平台
20,svg_118,20,洗手間,系統平台
21,svg_126,21,洗手間,系統平台
